Zeit	Bauhauptgewerbe_Kapazitätsauslastung	Gewerbliche_Wirtschaft_Gki
 06/2008	71.7	105.3
 07/2008	72.9	100.5
 08/2008	74	99.1
 09/2008	73.2	97.1
 10/2008	73.1	93.6
 11/2008	71.9	88.2
 12/2008	68.9	84.7
 01/2009	60.4	84.9
 02/2009	51.6	84.5
 03/2009	53.9	83.7
 04/2009	64.9	85.4
 05/2009	68.7	86.6
 06/2009	70.5	88.8
 07/2009	71.5	90.9
 08/2009	72.3	94.2
 09/2009	72.1	95.2
 10/2009	72.1	95.5
 11/2009	70.4	97.3
 12/2009	68.4	97.5
 01/2010	57.2	98.6
 02/2010	45.7	98.7
 03/2010	48.3	100.9
 04/2010	61.9	104.7
 05/2010	69	105.5
 06/2010	72.8	106.3
 07/2010	74.5	110.5
 08/2010	74.8	111.5
 09/2010	75.1	111.8
 10/2010	74.9	112.8
 11/2010	75	114.1
 12/2010	66.3	114.2
 01/2011	54.3	112.7
 02/2011	54	114.1
 03/2011	60.8	113.9
 04/2011	71.2	112.9
 05/2011	75.3	113.8
 06/2011	76.3	113.6
 07/2011	79	112.9
 08/2011	78.4	109.3
 09/2011	78.5	107.9
 10/2011	77.8	107.2
 11/2011	77.7	107.4
 12/2011	74.3	107.1
 01/2012	65.4	107.6
 02/2012	54.8	108.2
 03/2012	58.6	108.6
 04/2012	70.1	108.9
 05/2012	74.4	106.6
 06/2012	76.4	104.9
 07/2012	77.5	102.8
 08/2012	78.4	102.6
 09/2012	78.3	101.7
 10/2012	77.6	100.9
 11/2012	76.7	101.5
 12/2012	72.3	102.1
 01/2013	63.5	104.1
 02/2013	54.1	105.8
 03/2013	55.7	105.4
 04/2013	61.8	103.7
 05/2013	75.7	105.1
 06/2013	78.2	105.7
 07/2013	79.5	105.9
 08/2013	79.6	107.8
 09/2013	79.4	108.3
 10/2013	79.1	108.1
 11/2013	78.8	109.3
 12/2013	76.1	109.4
 01/2014	65.9	110.8
 02/2014	60.1	111.1
 03/2014	65.2	110.9
 04/2014	71.6	110.9
 05/2014	75.8	110.1
 06/2014	77.6	109.5
 07/2014	77.9	108
 08/2014	78.7	106.3
 09/2014	79.2	105.3
 10/2014	78.9	103.4
 11/2014	78.1	104.6
 12/2014	76.1	105.5
