"nm" "nmqm" "wfl" "rooms" "bj" "bez" "wohngut" "wohnbest" "ww0" "zh0" "badkach0" "badextra" "kueche"
412.58 7.93 52 2 1957.5 "Obergiesing" 0 0 0 0 1 1 0
700 12.5 56 2 1992.5 "Obergiesing" 0 0 0 0 1 1 1
360 6.92 52 2 1957.5 "Obergiesing" 0 0 0 0 1 0 0
426.35 5.33 80 3 1918 "Untergiesing" 0 1 0 1 1 1 0
686 12.47 55 2 2000.5 "Thalkirchen..." 0 0 0 0 1 0 1
974 7.16 136 4 1918 "Au-Haidhausen" 0 0 0 0 0 0 0
847 13.03 65 2 1918 "Au-Haidhausen" 0 0 0 0 1 0 0
567 12.6 45 2 1972 "Ramersdorf-Perlach" 0 0 0 0 1 0 0
1141.21 11.19 102 4 1957.5 "Obergiesing" 0 0 0 0 0 0 0
290.4 6.75 43 2 1957.5 "Ramersdorf-Perlach" 0 0 0 0 1 0 0
1022.08 12.62 81 3 2000.5 "Untergiesing" 0 1 0 0 1 0 1
790 9.88 80 3 1918 "Obergiesing" 0 0 0 0 1 0 0
400 14.29 28 1 1957.5 "Untergiesing" 0 0 0 0 1 0 1
460 12.11 38 1 1972 "Sendling-Westpark" 1 0 0 0 1 0 1
526.49 11.2 47 2 1918 "Sendling" 0 0 0 1 0 0 0
781.19 11.66 67 2 1924 "Sendling" 0 0 0 0 1 1 0
728.34 11.38 64 2 1957.5 "Sendling" 0 0 0 0 1 1 0
311.59 11.13 28 1 1983 "Sendling-Westpark" 0 0 0 0 1 0 0
1540 12.83 120 4 1918 "Au-Haidhausen" 1 0 0 0 1 0 0
1300 15.12 86 4 2006.5 "Maxvorstadt" 1 0 0 0 1 0 1
660 10.31 64 2 2000.5 "Trudering-Riem" 1 0 0 0 1 1 0
571.83 8.05 71 3 1939 "Untergiesing" 0 0 0 0 1 0 0
362.79 3.56 102 4 1957.5 "Sendling" 0 0 0 0 1 0 0
1090 9.08 120 4 1957.5 "Sendling" 1 0 0 0 1 1 0
505.2 10.1 50 2 1957.5 "Sendling" 0 0 0 0 1 0 0
710 13.15 54 2 1992.5 "Thalkirchen..." 1 0 0 0 1 0 1
425 14.66 29 1 1972 "Ramersdorf-Perlach" 0 0 0 0 1 0 0
1100 15.71 70 2 1983 "Sendling" 0 0 0 0 1 1 0
430 12.29 35 2 1983 "Untergiesing" 0 0 0 0 0 0 0
540 10.19 53 2 1957.5 "Obergiesing" 0 0 0 0 0 0 0
780 12 65 2 1972 "Sendling-Westpark" 0 0 0 0 1 0 1
805 11.84 68 2 1983 "Thalkirchen..." 0 0 0 0 1 0 1
711 12.05 59 3 1957.5 "Obergiesing" 0 0 0 0 1 0 0
565 10.27 55 2 1972 "Obergiesing" 0 0 0 0 1 0 1
600 12.24 49 2 1992.5 "Ramersdorf-Perlach" 0 0 0 0 1 0 0
695 14.79 47 2 1939 "Obergiesing" 0 0 0 1 1 0 0
429 13.84 31 1 1957.5 "Obergiesing" 0 0 0 0 1 0 1
900 11.11 81 3 1992.5 "Sendling" 0 0 0 0 1 1 1
605.51 7.97 76 3 1957.5 "Berg am Laim" 0 0 0 0 1 0 0
368.85 6.83 54 2 1972 "Moosach" 0 0 0 0 1 0 0
505 10.98 46 2 1957.5 "Thalkirchen..." 0 0 0 0 1 0 0
380 12.67 30 1 1972 "Untergiesing" 0 0 0 0 1 0 1
795 9.24 86 4 1957.5 "Thalkirchen..." 1 0 0 0 1 0 0
549 10.56 52 2 1972 "Milbersthofen-Am Hart" 0 0 0 0 0 0 0
745 12.84 58 2 1992.5 "Hadern" 1 0 0 0 0 0 1
635 6.9 92 4 1957.5 "Thalkirchen..." 0 0 0 0 0 0 0
609 6.77 90 4 1983 "Untergiesing" 1 0 0 0 1 1 0
313.3 4.54 69 3 1957.5 "Obergiesing" 0 0 0 1 0 0 0
660.6 7.96 83 3 1972 "Thalkirchen..." 1 0 0 0 1 0 0
826.06 8.43 98 4 1972 "Thalkirchen..." 1 0 0 0 1 0 0
600 10.91 55 2 1972 "Thalkirchen..." 0 0 0 0 1 0 0
720 12.86 56 2 1918 "Au-Haidhausen" 1 0 0 0 1 0 1
733.25 9.78 75 3 1957.5 "Sendling" 0 0 0 0 1 1 0
530 13.59 39 2 1957.5 "Schwabing-Freimann" 0 0 0 0 1 0 0
512 9.85 52 2 1939 "Obergiesing" 0 0 0 0 1 0 0
434.36 6.12 71 3 1972 "Hadern" 0 0 0 0 1 0 0
360 9.47 38 1 1957.5 "Untergiesing" 0 0 0 0 1 0 0
1313.4 9.52 138 4 1918 "Sendling" 0 0 0 1 1 1 0
910 10.46 87 3 1957.5 "Moosach" 1 0 0 0 1 0 0
588 12 49 2 1992.5 "Thalkirchen..." 1 0 0 0 1 1 0
915 14.3 64 3 1957.5 "Au-Haidhausen" 1 0 0 0 1 0 1
520 8.81 59 2 1983 "Ramersdorf-Perlach" 1 0 0 0 1 0 0
640 11.03 58 2 1957.5 "Untergiesing" 0 0 0 0 1 0 0
1155 10.5 110 5 1918 "Au-Haidhausen" 1 0 0 1 1 0 0
500 8.93 56 2 1972 "Schwabing-Freimann" 1 0 0 0 1 0 0
1043.1 11.34 92 5 1992.5 "Schwabing-Freimann" 1 0 0 0 1 0 0
800 10.13 79 2 1918 "Neuhausen-Nymphenburg" 0 0 0 0 0 0 1
1290 11.22 115 4 1983 "Laim" 0 0 0 0 1 0 1
315.85 4.94 64 3 1972 "Laim" 0 0 0 0 1 0 0
274 2.88 95 4 1924 "Sendling" 0 0 0 1 0 0 0
490 9.07 54 2 1972 "Milbersthofen-Am Hart" 0 0 0 1 1 0 0
520 18.57 28 1 1992.5 "Maxvorstadt" 1 0 0 0 1 0 0
700 14 50 2 1939 "Maxvorstadt" 0 0 0 0 1 1 1
930 12.24 76 3 1939 "Maxvorstadt" 1 0 0 0 1 0 0
987 10.97 90 4 1957.5 "Neuhausen-Nymphenburg" 0 0 0 1 1 1 0
710 12.91 55 2 1924 "Ramersdorf-Perlach" 1 0 0 0 1 1 1
500 6.67 75 2 1957.5 "Maxvorstadt" 1 0 0 1 0 0 0
522 11.86 44 2 1972 "Maxvorstadt" 1 0 0 0 0 0 0
1050.74 10.95 96 3 1972 "Neuhausen-Nymphenburg" 0 1 0 0 1 0 0
503.85 6.38 79 4 1957.5 "Schwabing West" 1 0 0 0 1 0 0
562.1 7.12 79 3 1957.5 "Ludwigvorstadt-Isarvorstadt" 0 0 0 0 0 0 0
1136.83 10.33 110 4 1918 "Ludwigvorstadt-Isarvorstadt" 0 0 0 1 1 1 0
675 14.36 47 2 1972 "Untergiesing" 0 0 0 0 1 0 1
660 11 60 2 1957.5 "Untergiesing" 0 0 0 0 1 1 0
816.38 7.93 103 5 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 1 1 1 0 0
1226 12.91 95 4 1924 "Maxvorstadt" 1 0 0 0 1 0 0
408.11 7.85 52 2 1957.5 "Ramersdorf-Perlach" 0 0 0 0 1 0 0
308.35 6.56 47 2 1957.5 "Milbersthofen-Am Hart" 0 0 0 1 1 0 0
742.7 13.75 54 2 1957.5 "Maxvorstadt" 1 0 0 0 1 0 1
681.97 9.47 72 3 1957.5 "Schwabing West" 1 0 0 0 0 0 0
488.34 5.68 86 4 1983 "Obergiesing" 0 0 0 0 1 1 0
660 11 60 2 1957.5 "Obergiesing" 0 0 0 0 1 1 1
1075 13.27 81 3 1957.5 "Thalkirchen..." 1 0 0 0 1 0 1
817 13.39 61 2 1957.5 "Neuhausen-Nymphenburg" 1 0 0 0 1 0 0
664.22 7.14 93 4 1957.5 "Obergiesing" 0 0 0 0 1 0 0
1120 13.18 85 3 1939 "Laim" 1 0 0 0 1 0 0
1095 12.73 86 3 1983 "Milbersthofen-Am Hart" 0 0 0 0 1 1 0
510 8.23 62 3 1957.5 "Milbersthofen-Am Hart" 0 0 0 1 0 0 0
984 12 82 4 1957.5 "Obergiesing" 0 0 0 0 1 1 0
461 5.12 90 3 1924 "Ramersdorf-Perlach" 0 0 1 1 1 0 0
422 8.12 52 2 1939 "Untergiesing" 0 0 0 0 1 0 0
825 8.97 92 3 1957.5 "Schwanthalerhöhe" 0 0 0 0 1 0 0
579.2 9.34 62 3 1957.5 "Schwanthalerhöhe" 0 0 0 0 1 0 0
795 9.94 80 3 1983 "Bogenhausen" 0 0 0 0 1 0 0
1020 8.5 120 5 1957.5 "Aubing..." 0 0 0 0 1 0 0
649.5 11.81 55 2 1983 "Milbersthofen-Am Hart" 0 0 0 0 1 0 0
1000 11.9 84 2 1918 "Neuhausen-Nymphenburg" 1 0 0 0 0 0 1
807.46 7.76 104 3 1924 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
708 7.96 89 3 1924 "Neuhausen-Nymphenburg" 1 0 0 0 1 0 0
271 3.61 75 3 1924 "Neuhausen-Nymphenburg" 0 1 1 1 1 0 0
281.25 9.07 31 1 1957.5 "Altstadt-Lehel" 0 1 0 0 0 0 0
850.33 8.95 95 3 1972 "Fledmoching-Hasenbergel" 0 0 0 0 1 1 0
412.44 5.29 78 4 1972 "Fledmoching-Hasenbergel" 0 0 0 0 1 0 0
264.67 4.73 56 3 1957.5 "Schwabing West" 0 0 0 0 0 0 0
600 12.5 48 2 2000.5 "Schwabing-Freimann" 0 0 0 0 1 0 0
760 11.01 69 3 1957.5 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
520.18 11.31 46 2 1939 "Thalkirchen..." 0 0 0 1 0 0 0
680 12.14 56 2 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 0 0
595 10.82 55 3 1957.5 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 1 1
349.88 8.75 40 1 1983 "Aubing..." 0 0 0 0 0 0 0
954 12.08 79 3 1939 "Schwabing-Freimann" 1 0 0 0 1 0 0
1150 14.38 80 3 1957.5 "Schwabing West" 1 0 0 0 1 0 0
358.67 6.64 54 2 1972 "Sendling-Westpark" 0 0 0 0 1 1 0
1431.44 7.27 197 8 1918 "Altstadt-Lehel" 0 1 0 0 0 0 0
1090 9.73 112 5 1918 "Au-Haidhausen" 1 0 0 0 1 0 0
872.67 8.56 102 4 1918 "Schwabing-Freimann" 0 1 0 0 1 0 0
244 6.78 36 2 1972 "Ramersdorf-Perlach" 0 0 0 0 1 0 0
830 11.69 71 3 1924 "Schwabing West" 0 0 0 0 1 0 0
595 12.14 49 2 1957.5 "Schwabing-Freimann" 1 0 0 0 1 0 0
1100 14.1 78 2 1992.5 "Schwabing West" 1 0 0 0 1 1 1
550 11.7 47 2 1972 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
1250 8.93 140 5 1918 "Altstadt-Lehel" 0 1 0 0 1 0 0
555.85 6.18 90 3 1957.5 "Obergiesing" 0 0 0 0 1 0 0
1320 12.22 108 3 1918 "Obergiesing" 0 0 0 0 1 0 0
690 11.5 60 2 1957.5 "Obergiesing" 0 0 0 0 1 1 0
332.54 5.45 61 3 1957.5 "Ramersdorf-Perlach" 0 0 0 0 0 0 0
839 9.76 86 4 1924 "Maxvorstadt" 1 0 0 0 1 1 0
1250 13.59 92 3 1918 "Neuhausen-Nymphenburg" 1 0 0 0 1 1 0
675 11.07 61 2 1918 "Maxvorstadt" 1 0 0 0 1 0 0
432.29 6.18 70 2 1924 "Maxvorstadt" 1 0 0 1 1 0 0
1045.6 11.01 95 4 1957.5 "Untergiesing" 0 0 0 0 1 1 0
709 11.62 61 3 1939 "Sendling-Westpark" 1 0 0 0 0 0 0
674.4 8.43 80 3 1957.5 "Thalkirchen..." 1 0 0 0 1 0 0
449 11.22 40 2 1939 "Thalkirchen..." 1 0 0 0 0 0 0
970 11.69 83 3 1983 "Sendling-Westpark" 1 0 0 0 1 1 1
540 11.25 48 1 1957.5 "Thalkirchen..." 1 0 0 0 1 0 1
347.18 6.09 57 2 1924 "Thalkirchen..." 0 0 0 0 1 0 0
393.8 6.15 64 2 1957.5 "Thalkirchen..." 0 0 0 0 1 0 0
303 4.81 63 2 1918 "Sendling" 0 0 0 0 1 0 0
827 10.21 81 4 1972 "Sendling" 0 0 0 0 1 0 0
1150 10.95 105 5 1972 "Pasing-Obermenzing" 0 1 0 0 1 1 0
650 10.16 64 2 1972 "Laim" 0 0 0 0 1 0 1
640 8.1 79 2 2010 "Pasing-Obermenzing" 0 0 0 0 1 0 0
980 13.61 72 2 1918 "Ludwigvorstadt-Isarvorstadt" 0 0 0 0 1 0 1
895 12.61 71 3 1972 "Untergiesing" 1 0 0 0 1 0 1
444.38 11.11 40 1 1972 "Aubing..." 0 0 0 0 1 0 0
960 9.6 100 4 1957.5 "Aubing..." 0 0 0 0 1 0 0
461.09 8.54 54 2 1957.5 "Schwanthalerhöhe" 0 0 0 0 1 0 0
670 10.31 65 2 1924 "Schwanthalerhöhe" 0 0 0 0 1 0 0
661.37 7.35 90 3 1957.5 "Maxvorstadt" 1 0 0 0 1 1 0
987.55 11.9 83 3 1957.5 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
826.03 11.8 70 2 1939 "Neuhausen-Nymphenburg" 1 0 0 0 1 1 0
595 11.9 50 2 1957.5 "Neuhausen-Nymphenburg" 1 0 0 0 1 0 1
322.98 7.02 46 2 1957.5 "Au-Haidhausen" 0 0 0 1 1 0 0
274 4.49 61 2 1957.5 "Schwabing West" 1 0 0 0 1 0 0
1350 12.98 104 4 1918 "Au-Haidhausen" 1 0 0 0 1 0 0
680.54 8.3 82 3 1957.5 "Obergiesing" 0 0 0 0 1 0 0
426.67 6.56 65 3 1957.5 "Sendling-Westpark" 0 0 0 0 1 0 0
923.99 13.39 69 3 1918 "Sendling" 0 0 0 0 1 0 0
695 13.37 52 2 1939 "Sendling-Westpark" 0 0 0 0 1 0 0
674.9 8.44 80 3 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 1 1 0 0
1950 10.83 180 5 1918 "Altstadt-Lehel" 1 0 0 0 1 0 0
1142 8.16 140 5 1918 "Altstadt-Lehel" 0 1 0 0 1 0 0
720 12.63 57 2 1992.5 "Pasing-Obermenzing" 0 0 0 0 1 0 1
432 12 36 1 1957.5 "Sendling-Westpark" 0 0 0 0 1 0 1
805 14.38 56 2 1957.5 "Schwabing West" 1 0 0 0 1 0 1
436.3 8.08 54 2 1957.5 "Schwabing West" 0 0 0 0 1 0 0
320 12.31 26 1 1957.5 "Sendling-Westpark" 0 0 0 0 1 0 1
375.1 6.36 59 3 1957.5 "Sendling-Westpark" 0 0 0 1 0 0 0
590 9.83 60 2 1972 "Sendling-Westpark" 0 0 0 0 1 0 0
255.98 7.76 33 1 1918 "Pasing-Obermenzing" 0 0 0 0 1 0 0
413.12 7.25 57 2 1924 "Pasing-Obermenzing" 0 0 0 0 1 0 0
484.88 7.35 66 4 1957.5 "Fledmoching-Hasenbergel" 0 0 0 0 1 0 0
841.72 8.25 102 4 1918 "Neuhausen-Nymphenburg" 1 0 0 0 0 0 0
609.34 7.43 82 3 1918 "Schwanthalerhöhe" 0 0 0 0 0 0 0
772 8.21 94 4 1957.5 "Bogenhausen" 1 0 0 0 1 0 0
934.75 15.58 60 2 1972 "Bogenhausen" 0 1 0 0 1 0 0
635 10.76 59 2 1983 "Bogenhausen" 1 0 0 0 1 0 0
730 13.04 56 2 1924 "Ludwigvorstadt-Isarvorstadt" 0 0 0 1 1 0 0
820 13.02 63 2 1957.5 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 0 1
589.1 5.89 100 3 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 1 0 0 0
850 9.34 91 2 1972 "Milbersthofen-Am Hart" 0 0 0 0 1 0 0
515.75 8.6 60 2 1939 "Schwabing West" 0 0 0 0 1 0 0
800 13.33 60 3 1939 "Neuhausen-Nymphenburg" 1 0 0 0 1 0 0
870 10.88 80 3 1972 "Untergiesing" 0 0 0 0 1 0 0
840 10.24 82 2 1957.5 "Altstadt-Lehel" 1 0 0 0 1 1 1
513 7.43 69 3 1957.5 "Moosach" 0 0 0 0 1 0 0
1250 14.71 85 3 1957.5 "Maxvorstadt" 1 0 0 0 1 0 0
621.53 10.9 57 2 2000.5 "Schwabing-Freimann" 0 0 0 0 1 0 1
827 10.34 80 4 1957.5 "Schwabing-Freimann" 0 0 0 0 1 0 0
353 5.27 67 2 1957.5 "Milbersthofen-Am Hart" 0 0 0 0 1 0 0
608.67 8.45 72 3 1972 "Schwabing-Freimann" 0 0 0 0 1 0 0
1010.08 10.31 98 4 1918 "Schwabing West" 1 0 0 0 0 0 0
832.74 10.68 78 3 1918 "Maxvorstadt" 1 0 0 0 1 0 0
880 13.54 65 2 1918 "Maxvorstadt" 1 0 0 0 1 0 0
294.35 7.75 38 1 1957.5 "Hadern" 0 0 0 0 1 0 0
340 10 34 1 1957.5 "Hadern" 0 0 0 0 1 0 1
1166.51 5.07 230 8 1918 "Laim" 0 0 0 1 1 0 0
415.31 4.15 100 4 1924 "Schwabing West" 0 0 1 1 1 0 0
715.63 5.11 140 5 1918 "Schwabing West" 1 0 0 0 1 1 0
185 2.47 75 3 1924 "Schwabing West" 1 0 0 0 0 0 0
610.8 9.7 63 3 1957.5 "Sendling" 0 0 0 0 1 0 0
287.45 5.23 55 2 1918 "Sendling" 0 0 0 1 1 0 0
540 14.59 37 1 1918 "Au-Haidhausen" 1 0 0 1 1 0 1
621.05 9.13 68 3 1972 "Berg am Laim" 0 0 0 0 1 0 0
675 10.38 65 2 1983 "Berg am Laim" 0 0 0 0 1 0 1
680 10.46 65 2 1983 "Berg am Laim" 0 0 0 0 1 0 0
590 12.04 49 2 1918 "Au-Haidhausen" 1 0 0 1 0 0 0
708.48 10.12 70 3 1924 "Au-Haidhausen" 0 0 0 0 0 0 0
1116.39 12 93 3 1918 "Sendling" 0 0 0 0 0 0 0
702 11.7 60 2 1918 "Sendling" 0 0 0 1 1 0 0
600 11.11 54 2 1983 "Laim" 0 0 0 0 1 0 1
320 8.89 36 1 1957.5 "Neuhausen-Nymphenburg" 0 0 0 0 1 0 0
616 7.51 82 3 1983 "Neuhausen-Nymphenburg" 1 0 0 0 1 0 0
339.72 6.07 56 3 1939 "Milbersthofen-Am Hart" 0 0 0 1 1 0 0
437.72 9.31 47 2 1918 "Au-Haidhausen" 0 0 0 1 1 0 0
785 10.61 74 3 1983 "Ramersdorf-Perlach" 0 0 0 0 1 1 0
265.29 6.32 42 2 1972 "Ramersdorf-Perlach" 0 0 0 0 1 0 0
780 9.51 82 3 1939 "Berg am Laim" 0 0 0 0 1 0 0
681 6.61 103 5 1939 "Berg am Laim" 0 0 0 0 1 0 0
884.36 8.11 109 5 1924 "Neuhausen-Nymphenburg" 1 0 0 0 0 0 0
657 7.55 87 4 1957.5 "Milbersthofen-Am Hart" 0 0 0 0 1 0 0
577.82 8.62 67 3 1957.5 "Schwabing-Freimann" 1 0 0 0 1 0 0
900 13.43 67 3 1992.5 "Milbersthofen-Am Hart" 0 0 0 0 1 0 1
1000 14.71 68 2 1983 "Sendling" 0 0 0 0 1 0 0
1887 16.7 113 5 1918 "Au-Haidhausen" 0 0 0 0 1 0 0
1090 11.35 96 3 1957.5 "Sendling-Westpark" 0 0 0 0 1 0 1
1012.5 6.75 150 4 1918 "Sendling" 0 0 0 1 1 1 0
332 9.49 35 1 1957.5 "Sendling" 0 0 0 0 0 0 0
472.52 7.5 63 3 1957.5 "Sendling-Westpark" 0 0 0 0 1 0 0
659.77 12.69 52 2 1957.5 "Untergiesing" 0 0 0 0 1 0 0
639.5 12.79 50 3 1957.5 "Thalkirchen..." 1 0 0 0 1 0 0
1089 11.97 91 3 2012.5 "Thalkirchen..." 0 0 0 0 1 0 0
287.76 6.69 43 2 1957.5 "Berg am Laim" 0 0 0 0 1 0 0
690 10.45 66 3 1992.5 "Bogenhausen" 0 0 0 0 1 0 1
1015 9.4 108 5 1972 "Hadern" 1 0 0 0 1 0 1
685 12.69 54 2 1957.5 "Schwabing West" 1 0 0 0 1 0 0
909.77 8.42 108 4 1918 "Altstadt-Lehel" 0 1 0 1 1 0 0
1000 11.76 85 4 1972 "Bogenhausen" 1 0 0 0 1 0 0
770 9.75 79 3 1918 "Au-Haidhausen" 1 0 0 0 1 0 0
880 11 80 3 1924 "Au-Haidhausen" 0 0 0 0 1 0 0
529.8 13.58 39 2 1972 "Sendling-Westpark" 0 0 0 0 1 0 0
707 11.05 64 3 1957.5 "Sendling-Westpark" 0 0 0 0 1 0 0
460 9.58 48 2 1957.5 "Thalkirchen..." 0 0 0 0 1 0 0
1030 12.56 82 3 1939 "Schwabing West" 1 0 0 0 1 0 1
583 6.55 89 4 1983 "Pasing-Obermenzing" 1 0 0 0 1 1 0
316.4 10.21 31 1 1957.5 "Neuhausen-Nymphenburg" 0 0 0 0 0 0 0
727.8 8.09 90 3 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 1 1 0 0
647.43 7.19 90 4 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 1 0 0 0
312.66 5.13 61 2 1957.5 "Sendling" 0 0 1 1 0 0 0
345 11.5 30 1 1957.5 "Ludwigvorstadt-Isarvorstadt" 0 0 0 0 0 0 0
1078 12.68 85 3 1983 "Pasing-Obermenzing" 0 0 0 0 1 0 0
1112 11.12 100 4 1918 "Altstadt-Lehel" 0 1 0 0 1 1 0
595.71 10.64 56 3 1918 "Maxvorstadt" 0 0 0 0 1 0 1
490 10.65 46 2 1972 "Milbersthofen-Am Hart" 0 0 0 0 1 0 1
870 12.79 68 2 1972 "Bogenhausen" 1 0 0 0 1 0 0
579.88 8.4 69 3 1972 "Untergiesing" 0 0 0 0 1 0 0
517.08 8.92 58 2 1957.5 "Untergiesing" 0 0 0 1 1 0 0
1655 12.93 128 5 1992.5 "Neuhausen-Nymphenburg" 1 0 0 0 1 0 0
391.15 6.74 58 2 1992.5 "Neuhausen-Nymphenburg" 1 0 0 0 1 0 0
1550 14.9 104 3 1939 "Au-Haidhausen" 1 0 0 0 1 1 1
650 10.32 63 3 1957.5 "Untergiesing" 0 0 0 0 1 1 0
1400 13.08 107 4 1992.5 "Pasing-Obermenzing" 0 0 0 0 1 1 1
1100.5 10.58 104 3 1918 "Pasing-Obermenzing" 1 0 0 0 1 1 1
660 12.22 54 3 2000.5 "Pasing-Obermenzing" 0 0 0 0 1 0 1
452.25 9.04 50 2 1939 "Obergiesing" 0 0 0 1 1 0 0
850 11.18 76 3 1983 "Untergiesing" 0 0 0 0 1 0 0
589.96 8.43 70 2 1939 "Schwabing West" 0 0 0 0 1 0 0
610 12.98 47 2 1957.5 "Maxvorstadt" 1 0 0 1 1 0 0
1031.54 13.22 78 3 1992.5 "Schwabing-Freimann" 1 0 0 0 1 0 0
550 8.87 62 3 1957.5 "Schwabing-Freimann" 0 0 0 0 0 0 0
716.03 9.81 73 3 1924 "Bogenhausen" 0 0 0 0 1 0 0
771.77 9.19 84 3 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 1 1 0 0
1115 8.92 125 4 1924 "Laim" 0 0 0 0 1 1 0
746.69 9.22 81 3 1918 "Au-Haidhausen" 0 0 0 0 1 0 0
731.56 8.71 84 3 1924 "Untergiesing" 1 0 1 0 1 0 0
638 11.81 54 2 1957.5 "Obergiesing" 0 0 1 1 1 0 1
745 9.09 82 4 1957.5 "Untergiesing" 1 0 0 0 0 0 0
1115.08 11.38 98 4 1957.5 "Maxvorstadt" 1 0 0 0 0 0 0
792.06 11.32 70 2 1983 "Maxvorstadt" 1 0 0 0 1 0 0
782.1 9.42 83 3 1957.5 "Schwanthalerhöhe" 0 0 0 0 1 0 0
458.19 13.48 34 1 1957.5 "Schwabing West" 1 0 0 0 1 0 0
785 11.54 68 3 1957.5 "Milbersthofen-Am Hart" 0 0 0 0 1 0 0
795 12.42 64 3 1957.5 "Schwabing-Freimann" 1 0 0 0 1 0 0
511 4.78 107 5 1918 "Sendling" 0 0 0 0 1 0 0
808.99 8.26 98 4 1983 "Sendling" 0 0 0 0 1 1 0
780 9.4 83 3 1957.5 "Hadern" 1 0 0 0 1 0 0
1030 11.44 90 4 1957.5 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 0 0
957 14.07 68 3 2000.5 "Bogenhausen" 0 0 0 0 1 1 0
645 12.4 52 2 1957.5 "Pasing-Obermenzing" 0 0 0 0 1 0 1
428.07 9.51 45 2 1983 "Aubing..." 0 0 0 0 0 0 0
276.63 5.22 53 2 1924 "Au-Haidhausen" 0 0 0 1 1 0 0
1495 11.87 126 5 1918 "Ludwigvorstadt-Isarvorstadt" 1 0 0 0 1 0 0
598 9.97 60 3 1918 "Schwanthalerhöhe" 0 0 0 0 1 0 0
456 6 76 3 1924 "Au-Haidhausen" 1 0 0 0 1 0 0
1253.45 12.41 101 4 1918 "Au-Haidhausen" 1 0 0 0 1 0 0
1503.96 9.06 166 6 1918 "Maxvorstadt" 1 0 0 0 1 1 0
642.9 8.57 75 3 1918 "Schwabing West" 1 0 0 1 1 0 0
259 6.47 40 2 1918 "Maxvorstadt" 1 0 0 0 0 0 0
568.9 6.32 90 3 1918 "Maxvorstadt" 1 0 0 1 1 0 0
688 8 86 3 1918 "Maxvorstadt" 0 0 0 0 1 0 0
900 8.65 104 4 1983 "Schwabing West" 0 0 0 0 0 0 0
760 13.33 57 2 1957.5 "Maxvorstadt" 1 0 0 0 1 0 0
1840 12.69 145 4 1939 "Schwabing West" 1 0 0 0 1 1 0
700 16.28 43 2 1918 "Maxvorstadt" 1 0 0 0 1 0 0
540 12 45 2 1918 "Maxvorstadt" 1 0 0 0 0 0 0
940 12.7 74 3 2006.5 "Sendling-Westpark" 0 0 0 0 1 0 0
570 9.83 58 2 1957.5 "Untergiesing" 0 0 0 1 1 0 0
695 10.86 64 3 1972 "Thalkirchen..." 0 0 0 0 1 0 0
